Cycles	Run	Rn
383	23	cdh7a*A10_scr2_2	1.5973
384	24	cdh7a*A10_scr2_2	1.598
385	25	cdh7a*A10_scr2_2	1.5987
386	26	cdh7a*A10_scr2_2	1.5992
387	27	cdh7a*A10_scr2_2	1.5995
388	28	cdh7a*A10_scr2_2	1.6018
389	29	cdh7a*A10_scr2_2	1.6071
390	30	cdh7a*A10_scr2_2	1.6176
391	31	cdh7a*A10_scr2_2	1.638
392	32	cdh7a*A10_scr2_2	1.6741
393	33	cdh7a*A10_scr2_2	1.7503
394	34	cdh7a*A10_scr2_2	1.8947
395	35	cdh7a*A10_scr2_2	2.1462
396	36	cdh7a*A10_scr2_2	2.5079
397	37	cdh7a*A10_scr2_2	2.9283
398	38	cdh7a*A10_scr2_2	3.3532
399	39	cdh7a*A10_scr2_2	3.7584
400	40	cdh7a*A10_scr2_2	4.0815
401	1	cdh7a*A11_scr2_2	1.615
402	2	cdh7a*A11_scr2_2	1.6113
403	3	cdh7a*A11_scr2_2	1.6097
404	4	cdh7a*A11_scr2_2	1.6077
405	5	cdh7a*A11_scr2_2	1.6002
406	6	cdh7a*A11_scr2_2	1.5959
407	7	cdh7a*A11_scr2_2	1.5925
408	8	cdh7a*A11_scr2_2	1.5887
409	9	cdh7a*A11_scr2_2	1.591
410	10	cdh7a*A11_scr2_2	1.585
411	11	cdh7a*A11_scr2_2	1.6057
412	12	cdh7a*A11_scr2_2	1.6052
413	13	cdh7a*A11_scr2_2	1.6025
414	14	cdh7a*A11_scr2_2	1.6005
415	15	cdh7a*A11_scr2_2	1.6025
416	16	cdh7a*A11_scr2_2	1.6006
417	17	cdh7a*A11_scr2_2	1.6013
418	18	cdh7a*A11_scr2_2	1.601
419	19	cdh7a*A11_scr2_2	1.6021
420	20	cdh7a*A11_scr2_2	1.5998
421	21	cdh7a*A11_scr2_2	1.6031
422	22	cdh7a*A11_scr2_2	1.5978
423	23	cdh7a*A11_scr2_2	1.6027
424	24	cdh7a*A11_scr2_2	1.5989
425	25	cdh7a*A11_scr2_2	1.5992
426	26	cdh7a*A11_scr2_2	1.601
427	27	cdh7a*A11_scr2_2	1.6031
428	28	cdh7a*A11_scr2_2	1.6047
429	29	cdh7a*A11_scr2_2	1.6031
430	30	cdh7a*A11_scr2_2	1.6104
431	31	cdh7a*A11_scr2_2	1.6214
432	32	cdh7a*A11_scr2_2	1.6464
433	33	cdh7a*A11_scr2_2	1.6861
434	34	cdh7a*A11_scr2_2	1.7685
435	35	cdh7a*A11_scr2_2	1.9315
436	36	cdh7a*A11_scr2_2	2.2058
437	37	cdh7a*A11_scr2_2	2.582
438	38	cdh7a*A11_scr2_2	3.007
439	39	cdh7a*A11_scr2_2	3.4274
440	40	cdh7a*A11_scr2_2	3.8119
441	1	cdh7a*A12_scr2_2	1.7143
