Cycles	Run	Rn
253	13	gapdh*A7_cdh2_1	1.0248
254	14	gapdh*A7_cdh2_1	1.0245
255	15	gapdh*A7_cdh2_1	1.0237
256	16	gapdh*A7_cdh2_1	1.0231
257	17	gapdh*A7_cdh2_1	1.0226
258	18	gapdh*A7_cdh2_1	1.0218
259	19	gapdh*A7_cdh2_1	1.0216
260	20	gapdh*A7_cdh2_1	1.0226
261	21	gapdh*A7_cdh2_1	1.0225
262	22	gapdh*A7_cdh2_1	1.0219
263	23	gapdh*A7_cdh2_1	1.0224
264	24	gapdh*A7_cdh2_1	1.0223
265	25	gapdh*A7_cdh2_1	1.021
266	26	gapdh*A7_cdh2_1	1.0216
267	27	gapdh*A7_cdh2_1	1.0227
268	28	gapdh*A7_cdh2_1	1.0231
269	29	gapdh*A7_cdh2_1	1.0245
270	30	gapdh*A7_cdh2_1	1.0249
271	31	gapdh*A7_cdh2_1	1.0276
272	32	gapdh*A7_cdh2_1	1.0315
273	33	gapdh*A7_cdh2_1	1.0394
274	34	gapdh*A7_cdh2_1	1.0543
275	35	gapdh*A7_cdh2_1	1.0851
276	36	gapdh*A7_cdh2_1	1.1439
277	37	gapdh*A7_cdh2_1	1.2532
278	38	gapdh*A7_cdh2_1	1.4329
279	39	gapdh*A7_cdh2_1	1.6851
280	40	gapdh*A7_cdh2_1	1.9726
281	1	gapdh*A8_cdh2_1	1.0279
282	2	gapdh*A8_cdh2_1	1.0287
283	3	gapdh*A8_cdh2_1	1.0299
284	4	gapdh*A8_cdh2_1	1.0291
285	5	gapdh*A8_cdh2_1	1.0283
286	6	gapdh*A8_cdh2_1	1.0291
287	7	gapdh*A8_cdh2_1	1.0271
288	8	gapdh*A8_cdh2_1	1.0268
289	9	gapdh*A8_cdh2_1	1.0279
290	10	gapdh*A8_cdh2_1	1.0259
291	11	gapdh*A8_cdh2_1	1.0256
292	12	gapdh*A8_cdh2_1	1.025
293	13	gapdh*A8_cdh2_1	1.0252
294	14	gapdh*A8_cdh2_1	1.0245
295	15	gapdh*A8_cdh2_1	1.0241
296	16	gapdh*A8_cdh2_1	1.0237
297	17	gapdh*A8_cdh2_1	1.0241
298	18	gapdh*A8_cdh2_1	1.0224
299	19	gapdh*A8_cdh2_1	1.0236
300	20	gapdh*A8_cdh2_1	1.0231
301	21	gapdh*A8_cdh2_1	1.0218
302	22	gapdh*A8_cdh2_1	1.022
303	23	gapdh*A8_cdh2_1	1.0227
304	24	gapdh*A8_cdh2_1	1.0223
305	25	gapdh*A8_cdh2_1	1.0219
306	26	gapdh*A8_cdh2_1	1.0219
307	27	gapdh*A8_cdh2_1	1.0218
308	28	gapdh*A8_cdh2_1	1.0214
309	29	gapdh*A8_cdh2_1	1.0217
310	30	gapdh*A8_cdh2_1	1.0224
311	31	gapdh*A8_cdh2_1	1.0242
312	32	gapdh*A8_cdh2_1	1.0274
313	33	gapdh*A8_cdh2_1	1.0328
314	34	gapdh*A8_cdh2_1	1.0435
315	35	gapdh*A8_cdh2_1	1.0644
316	36	gapdh*A8_cdh2_1	1.1059
317	37	gapdh*A8_cdh2_1	1.1889
318	38	gapdh*A8_cdh2_1	1.339
319	39	gapdh*A8_cdh2_1	1.5624
320	40	gapdh*A8_cdh2_1	1.8316
321	1	gapdh*A9_cdh2_1	1.0351
322	2	gapdh*A9_cdh2_1	1.0379
323	3	gapdh*A9_cdh2_1	1.0361
324	4	gapdh*A9_cdh2_1	1.0442
325	5	gapdh*A9_cdh2_1	1.0425
326	6	gapdh*A9_cdh2_1	1.0438
327	7	gapdh*A9_cdh2_1	1.0427
328	8	gapdh*A9_cdh2_1	1.0435
329	9	gapdh*A9_cdh2_1	1.0451
330	10	gapdh*A9_cdh2_1	1.041
331	11	gapdh*A9_cdh2_1	1.0411
332	12	gapdh*A9_cdh2_1	1.0403
333	13	gapdh*A9_cdh2_1	1.0422
334	14	gapdh*A9_cdh2_1	1.0402
335	15	gapdh*A9_cdh2_1	1.0398
336	16	gapdh*A9_cdh2_1	1.0421
337	17	gapdh*A9_cdh2_1	1.0382
338	18	gapdh*A9_cdh2_1	1.0379
339	19	gapdh*A9_cdh2_1	1.0361
340	20	gapdh*A9_cdh2_1	1.0348
341	21	gapdh*A9_cdh2_1	1.0356
342	22	gapdh*A9_cdh2_1	1.0386
343	23	gapdh*A9_cdh2_1	1.0398
344	24	gapdh*A9_cdh2_1	1.0378
345	25	gapdh*A9_cdh2_1	1.0383
346	26	gapdh*A9_cdh2_1	1.0345
347	27	gapdh*A9_cdh2_1	1.037
348	28	gapdh*A9_cdh2_1	1.0375
349	29	gapdh*A9_cdh2_1	1.037
350	30	gapdh*A9_cdh2_1	1.0378
351	31	gapdh*A9_cdh2_1	1.0383
352	32	gapdh*A9_cdh2_1	1.0387
353	33	gapdh*A9_cdh2_1	1.0388
354	34	gapdh*A9_cdh2_1	1.0435
355	35	gapdh*A9_cdh2_1	1.0517
356	36	gapdh*A9_cdh2_1	1.0669
357	37	gapdh*A9_cdh2_1	1.0922
358	38	gapdh*A9_cdh2_1	1.1417
359	39	gapdh*A9_cdh2_1	1.2319
360	40	gapdh*A9_cdh2_1	1.3889
361	1	gapdh*A10_cdh2_2	0.9824
362	2	gapdh*A10_cdh2_2	0.9849
363	3	gapdh*A10_cdh2_2	0.9853
364	4	gapdh*A10_cdh2_2	1.0013
365	5	gapdh*A10_cdh2_2	1.0007
366	6	gapdh*A10_cdh2_2	0.9986
367	7	gapdh*A10_cdh2_2	0.9993
368	8	gapdh*A10_cdh2_2	0.9979
369	9	gapdh*A10_cdh2_2	0.9975
370	10	gapdh*A10_cdh2_2	0.9977
371	11	gapdh*A10_cdh2_2	0.9949
372	12	gapdh*A10_cdh2_2	0.9941
373	13	gapdh*A10_cdh2_2	0.994
374	14	gapdh*A10_cdh2_2	0.9945
375	15	gapdh*A10_cdh2_2	0.9936
376	16	gapdh*A10_cdh2_2	0.993
377	17	gapdh*A10_cdh2_2	0.9931
378	18	gapdh*A10_cdh2_2	0.9923
379	19	gapdh*A10_cdh2_2	0.9923
380	20	gapdh*A10_cdh2_2	0.9926
381	21	gapdh*A10_cdh2_2	0.9907
382	22	gapdh*A10_cdh2_2	0.9902
383	23	gapdh*A10_cdh2_2	0.9895
384	24	gapdh*A10_cdh2_2	0.9899
385	25	gapdh*A10_cdh2_2	0.989
386	26	gapdh*A10_cdh2_2	0.9907
387	27	gapdh*A10_cdh2_2	0.9893
388	28	gapdh*A10_cdh2_2	0.9931
389	29	gapdh*A10_cdh2_2	0.9895
390	30	gapdh*A10_cdh2_2	0.9902
391	31	gapdh*A10_cdh2_2	0.9917
392	32	gapdh*A10_cdh2_2	0.9918
393	33	gapdh*A10_cdh2_2	0.9936
394	34	gapdh*A10_cdh2_2	1.0013
395	35	gapdh*A10_cdh2_2	1.0116
396	36	gapdh*A10_cdh2_2	1.0311
397	37	gapdh*A10_cdh2_2	1.0731
398	38	gapdh*A10_cdh2_2	1.1568
399	39	gapdh*A10_cdh2_2	1.3086
400	40	gapdh*A10_cdh2_2	1.529
401	1	gapdh*A11_cdh2_2	1.0189
402	2	gapdh*A11_cdh2_2	1.0145
403	3	gapdh*A11_cdh2_2	1.0104
