Cycles	Run	Rn
637	37	pdgfra*B4_scr1-2	4.8995
638	38	pdgfra*B4_scr1-2	5.0568
639	39	pdgfra*B4_scr1-2	5.1839
640	40	pdgfra*B4_scr1-2	5.2985
641	1	pdgfra*B5_scr1-2	1.6849
642	2	pdgfra*B5_scr1-2	1.703
643	3	pdgfra*B5_scr1-2	1.699
644	4	pdgfra*B5_scr1-2	1.6925
645	5	pdgfra*B5_scr1-2	1.6887
646	6	pdgfra*B5_scr1-2	1.6819
647	7	pdgfra*B5_scr1-2	1.6871
648	8	pdgfra*B5_scr1-2	1.682
649	9	pdgfra*B5_scr1-2	1.6797
650	10	pdgfra*B5_scr1-2	1.6781
651	11	pdgfra*B5_scr1-2	1.6817
652	12	pdgfra*B5_scr1-2	1.6784
653	13	pdgfra*B5_scr1-2	1.6762
654	14	pdgfra*B5_scr1-2	1.6784
655	15	pdgfra*B5_scr1-2	1.6744
656	16	pdgfra*B5_scr1-2	1.6804
657	17	pdgfra*B5_scr1-2	1.6798
658	18	pdgfra*B5_scr1-2	1.6804
659	19	pdgfra*B5_scr1-2	1.6795
660	20	pdgfra*B5_scr1-2	1.6801
661	21	pdgfra*B5_scr1-2	1.6821
662	22	pdgfra*B5_scr1-2	1.682
663	23	pdgfra*B5_scr1-2	1.6863
664	24	pdgfra*B5_scr1-2	1.6892
665	25	pdgfra*B5_scr1-2	1.6956
666	26	pdgfra*B5_scr1-2	1.7154
667	27	pdgfra*B5_scr1-2	1.7446
668	28	pdgfra*B5_scr1-2	1.8089
669	29	pdgfra*B5_scr1-2	1.9298
670	30	pdgfra*B5_scr1-2	2.1599
671	31	pdgfra*B5_scr1-2	2.5151
672	32	pdgfra*B5_scr1-2	2.9731
673	33	pdgfra*B5_scr1-2	3.4432
674	34	pdgfra*B5_scr1-2	3.869
675	35	pdgfra*B5_scr1-2	4.2102
676	36	pdgfra*B5_scr1-2	4.4862
677	37	pdgfra*B5_scr1-2	4.6797
678	38	pdgfra*B5_scr1-2	4.8391
679	39	pdgfra*B5_scr1-2	4.9457
680	40	pdgfra*B5_scr1-2	5.038
681	1	pdgfra*B6_scr1-2	1.7374
682	2	pdgfra*B6_scr1-2	1.7245
683	3	pdgfra*B6_scr1-2	1.7166
684	4	pdgfra*B6_scr1-2	1.7136
685	5	pdgfra*B6_scr1-2	1.7067
686	6	pdgfra*B6_scr1-2	1.7054
687	7	pdgfra*B6_scr1-2	1.7031
688	8	pdgfra*B6_scr1-2	1.7035
689	9	pdgfra*B6_scr1-2	1.7001
690	10	pdgfra*B6_scr1-2	1.6988
691	11	pdgfra*B6_scr1-2	1.6988
692	12	pdgfra*B6_scr1-2	1.6996
693	13	pdgfra*B6_scr1-2	1.6989
694	14	pdgfra*B6_scr1-2	1.698
695	15	pdgfra*B6_scr1-2	1.6979
696	16	pdgfra*B6_scr1-2	1.6989
697	17	pdgfra*B6_scr1-2	1.6998
698	18	pdgfra*B6_scr1-2	1.7029
699	19	pdgfra*B6_scr1-2	1.6977
700	20	pdgfra*B6_scr1-2	1.701
701	21	pdgfra*B6_scr1-2	1.7046
702	22	pdgfra*B6_scr1-2	1.7019
703	23	pdgfra*B6_scr1-2	1.7084
704	24	pdgfra*B6_scr1-2	1.7119
705	25	pdgfra*B6_scr1-2	1.721
706	26	pdgfra*B6_scr1-2	1.7343
707	27	pdgfra*B6_scr1-2	1.77
708	28	pdgfra*B6_scr1-2	1.8318
709	29	pdgfra*B6_scr1-2	1.9554
710	30	pdgfra*B6_scr1-2	2.1892
711	31	pdgfra*B6_scr1-2	2.5634
712	32	pdgfra*B6_scr1-2	3.0467
713	33	pdgfra*B6_scr1-2	3.5456
714	34	pdgfra*B6_scr1-2	4.0034
715	35	pdgfra*B6_scr1-2	4.3698
716	36	pdgfra*B6_scr1-2	4.6663
717	37	pdgfra*B6_scr1-2	4.8899
718	38	pdgfra*B6_scr1-2	5.0616
719	39	pdgfra*B6_scr1-2	5.1836
720	40	pdgfra*B6_scr1-2	5.276
1441	1	gapdh*D1_pdg1-1	0.9972
1442	2	gapdh*D1_pdg1-1	0.9921
1443	3	gapdh*D1_pdg1-1	0.9864
1444	4	gapdh*D1_pdg1-1	0.9814
1445	5	gapdh*D1_pdg1-1	0.9795
1446	6	gapdh*D1_pdg1-1	0.9763
1447	7	gapdh*D1_pdg1-1	0.972
1448	8	gapdh*D1_pdg1-1	0.9713
1449	9	gapdh*D1_pdg1-1	0.9714
1450	10	gapdh*D1_pdg1-1	0.9709
1451	11	gapdh*D1_pdg1-1	0.9693
1452	12	gapdh*D1_pdg1-1	0.9687
